bag	section	Top_depth	Bottom_depth	Center_depth	number_grains	e1	e1_weighted	e2	e2_weighted	e3	e3_weighted
203	1	111.1	111.19	111.15	814	0.206199	0.177432	0.278516	0.282642	0.515285	0.539927
203	2	111.19	111.28	111.24	403	0.212429	0.209158	0.256304	0.244297	0.531267	0.546545
203	3	111.28	111.38	111.33	1320	0.210208	0.190255	0.284137	0.273131	0.505654	0.536613
216	1	118.25	118.34	118.3	1418	0.223402	0.203068	0.260919	0.248231	0.515679	0.548701
216	2	118.34	118.43	118.39	480	0.196948	0.186845	0.272547	0.261362	0.530505	0.551792
216	3	118.43	118.53	118.48	532	0.235517	0.215122	0.27496	0.244015	0.489522	0.540863
216	4	118.53	118.62	118.57	1196	0.220991	0.228057	0.298551	0.258792	0.480457	0.513151
216	5	118.62	118.71	118.66	1293	0.213433	0.195048	0.290115	0.240998	0.496452	0.563954
216	6	118.71	118.8	118.75	1554	0.21506	0.195271	0.261876	0.244303	0.523064	0.560426
225	1	123.2	123.29	123.25	1381	0.22923	0.20033	0.287237	0.268485	0.483533	0.531185
225	2	123.29	123.38	123.34	1443	0.238965	0.216544	0.270267	0.262357	0.490768	0.5211
225	3	123.38	123.48	123.43	1293	0.231615	0.209767	0.258642	0.253449	0.509744	0.536784
225	4	123.48	123.57	123.52	993	0.212122	0.204751	0.24374	0.251006	0.544138	0.544243
225	5	123.57	123.66	123.61	1195	0.253506	0.207903	0.293137	0.264731	0.453357	0.527367
225	6	123.66	123.75	123.7	952	0.238007	0.246529	0.277915	0.267197	0.484078	0.486274
242	2	132.64	132.73	132.69	1251	0.229245	0.214077	0.259452	0.262318	0.511303	0.523605
243	3	133.28	133.38	133.33	1193	0.198693	0.185075	0.310903	0.295347	0.490404	0.519578
244	1	133.65	133.74	133.7	1161	0.24175	0.199043	0.31524	0.313006	0.44301	0.487951
245	1	134.2	134.29	134.25	1320	0.210181	0.210365	0.270981	0.238149	0.518838	0.551486
246	1	134.75	134.84	134.8	1228	0.229372	0.201957	0.264284	0.232621	0.506344	0.565422
247	1	135.3	135.39	135.35	1117	0.273126	0.244747	0.276702	0.25179	0.450173	0.503463
252	1	138.05	138.14	138.1	757	0.221557	0.21008	0.319936	0.270233	0.458507	0.519687
252	2	138.14	138.23	138.19	744	0.226082	0.201449	0.314993	0.290789	0.458925	0.507762
252	3	138.23	138.33	138.28	904	0.236793	0.214366	0.318224	0.292914	0.444984	0.492721
252	4	138.33	138.42	138.37	879	0.214792	0.185562	0.31013	0.27784	0.475078	0.536597
252	5	138.42	138.51	138.46	816	0.185401	0.17681	0.261367	0.239009	0.553232	0.584181
252	6	138.51	138.6	138.55	1192	0.204412	0.193175	0.291195	0.267459	0.504393	0.539365
