# azimuth	latitude
172.094	62.0553
331.316	57.7628
157.041	38.3099
120.282	50.9222
222.56	70.6932
150.066	12.1522
138.693	18.6639
213.178	77.9766
113.032	55.3979
12.4056	71.6075
336.781	49.4078
335.988	49.6491
319.245	10.6084
158.445	26.5317
39.5909	83.3093
259.719	45.1774
146.237	66.9834
343.908	51.5084
209.303	74.2572
112.443	25.3758
29.2909	46.1983
272.721	74.4328
106.481	59.1761
177.515	69.7443
5.72229	56.6196
295.943	78.4228
35.4061	65.712
140.195	74.5913
331.892	66.7028
115.152	54.7518
99.9314	4.93429
37.3168	67.0431
237.866	77.8202
344.064	64.8252
328.823	56.6061
104.202	39.3421
288.03	74.1649
82.8962	33.5973
231.576	69.8155
65.8994	74.2424
89.4601	32.4232
309.598	24.444
129.491	66.1997
259.413	69.6561
177.022	69.0179
328.808	42.6172
155.63	38.6916
321.203	57.5554
287.236	27.6288
325.832	50.0536
108.043	59.1535
262.922	57.5688
257.73	59.224
257.982	55.4782
201.827	71.3382
156.35	42.5962
129.373	65.0329
313.759	35.0891
286.191	69.0141
290.387	31.5993
154.163	61.2085
197.462	36.0173
279.244	27.3698
136.41	35.8429
96.9696	15.7719
265.644	64.0621
0.462768	70.9762
142.419	78.9194
320.988	58.9651
344.859	3.26244
90.7626	59.5308
104.403	60.6618
73.8335	15.8094
139.035	66.7733
279.735	25.4614
100.791	66.677
71.3765	18.6028
59.6763	26.8382
113.544	74.7349
116.148	62.3244
349.017	32.8701
145.466	35.6831
125.107	70.7812
312.312	83.0996
97.4376	27.9375
158.079	64.865
99.4323	68.9676
118.991	22.511
292.772	34.0483
329.848	43.5655
276.626	21.6319
110.215	58.7032
168.34	77.731
113.867	72.6514
177.287	32.5241
204.186	68.9938
156.839	6.8362
310.77	1.02779
4.64248	3.78248
289.94	36.7718
129.734	20.4098
33.548	72.2088
345.05	82.3888
317.477	30.2093
24.6736	60.8635
304.942	51.8541
13.6557	69.2893
296.3	15.518
292.857	23.8487
61.8198	75.633
29.3247	68.5898
345.67	10.9872
340.379	82.5093
349.15	49.917
182.653	69.4259
146.117	36.675
55.2096	48.8491
154.263	33.7455
122.751	56.6334
253.018	34.0179
14.2543	22.586
332.222	64.309
228.421	72.5558
128.957	33.8083
134.818	36.4725
135.563	20.7143
74.3829	13.3484
78.0484	66.2032
77.7162	79.4001
339.58	82.5571
185.652	37.6725
312.728	40.6659
272.747	86.0016
284.386	26.7674
80.3529	80.6251
84.7236	50.5072
337.8	36.1171
80.2014	79.5786
279.494	16.5872
116.906	43.8493
102.998	12.133
121.85	60.8057
312.001	38.9686
211.308	57.5056
49.0908	44.4196
129.872	27.5047
323.095	60.3652
204.797	65.8851
324.63	65.2883
161.399	58.1403
321.303	59.6634
323.169	42.4833
49.6368	31.6372
336.066	50.3344
308.19	37.6942
109.863	52.0924
294.44	7.11922
122.887	29.5029
41.6352	81.9652
334.13	40.1348
64.1936	58.6113
317.559	56.234
227.606	64.8109
285.005	30.8666
342.034	3.50522
344.528	3.5945
217.838	59.3669
127.765	5.98862
117.753	43.6613
127.408	32.2931
311.721	41.3372
134.401	55.5459
350.405	2.61412
275.535	61.0542
131.458	37.7759
21.8579	81.5499
296.207	14.8919
99.0371	80.4756
130.247	27.6146
92.9573	46.0568
160.892	56.6465
82.8079	68.0675
335.042	38.0749
338.819	73.3119
277.338	60.4555
334.097	70.6958
311.315	40.1718
330.315	63.911
131.883	56.4335
62.7125	48.8795
255.267	69.0127
318.441	41.5906
102.406	18.7079
97.0366	18.1549
348.992	85.6456
313.798	40.6964
65.7744	47.8172
284.625	27.3806
171.341	1.36174
306.632	41.9047
29.4834	47.0974
131.005	8.31791
309.239	41.6994
339.642	35.6253
114.794	60.5249
177.015	0.541359
325.959	50.907
101.604	50.528
21.0657	67.2449
331.933	60.4956
320.673	22.99
346.137	61.8505
123.883	16.9287
249.54	68.5374
279.614	7.77671
302.049	80.38
102.733	52.2393
45.1901	66.1753
220.889	61.1691
132.137	48.2468
217.996	61.1265
97.0891	72.1593
75.9248	48.6121
186.081	66.7601
179.998	0.0010376
244.14	18.9071
295.51	8.14403
357.844	78.6583
152.314	63.925
64.0201	50.8615
249.894	22.7975
332.596	76.506
337.332	44.1693
243.924	41.9767
167.426	43.1196
346.11	36.9914
311.514	3.8277
99.5207	59.1501
229.906	37.7128
231.422	68.8593
178.689	0.740707
357.807	42.3221
247.546	55.5104
320.334	66.5364
313.466	1.92931
351.499	24.6052
267.626	62.6437
223.274	32.5153
94.3519	30.7112
178.863	1.97201
290.831	35.8833
109.208	13.2715
314	1.68526
44.5258	42.4014
255.964	2.39288
44.0929	42.1425
350.638	35.9697
245.068	43.2493
267.86	62.9607
304.81	13.756
281.453	64.7835
304.919	11.6523
19.801	77.8296
156.212	74.0944
66.662	44.3355
56.3695	71.6542
319.172	53.768
9.57311	9.42813
295.332	9.26227
64.9581	72.457
313.581	20.7391
106.439	21.9762
91.0921	56.9712
140.494	58.7687
315.946	22.1535
276.819	78.8467
97.4208	29.9456
179.254	3.76643
226.095	42.2299
72.1259	74.9707
142.531	58.9896
143.266	50.453
275.07	30.3307
128.719	1.49706
231.719	69.411
98.5891	57.1416
90.6133	45.0144
226.25	78.9677
189.675	72.6625
281.05	12.6036
229.72	83.3109
229.768	34.0703
74.5241	80.4041
278.734	28.9444
87.0061	22.1351
158.88	42.8181
140.331	15.4878
156.52	43.754
277.69	53.3998
170.051	60.3627
211.953	48.8507
41.7743	61.9545
210.38	63.6664
279.854	11.5208
260.755	83.6868
17.6803	63.3757
309.231	38.5013
206.549	62.3293
180.276	3.88609
130.467	74.2175
109.161	20.9004
92.0349	66.9314
151.8	1.40417
294.139	14.2624
227.332	33.4312
34.0845	61.8704
97.0744	64.3636
331.441	79.7932
38.111	58.3497
272.762	39.8733
17.2288	59.6213
19.0956	63.0665
255.609	43.6904
296.194	43.278
31.1564	34.1168
49.6233	78.9611
319.265	34.6774
134.698	68.1818
125.058	31.1322
15.2669	60.7595
298.006	44.5039
280.672	32.8467
291.508	13.229
123.807	39.2622
281.456	29.3102
20.4054	64.4187
243.29	77.2338
96.4258	86.8536
247.512	72.945
258.157	66.502
139.983	31.0759
266.299	43.2108
243.521	59.1713
142.761	34.8971
305.812	66.0881
221.002	63.2931
134.683	60.4787
299.148	6.57513
183.932	79.5204
223.165	62.6945
42.2039	67.1926
176.739	9.52672
321.702	39.8954
138.781	45.0306
132.523	66.1332
268.191	21.7164
189.523	81.2923
336.475	57.9554
69.6964	11.6882
272.463	33.1432
293.7	35.7322
274.48	50.7014
317.461	86.0025
65.3671	59.9959
199.618	63.0526
150.908	36.6955
357.056	87.6311
293.507	35.7254
202.819	62.6461
106.291	75.3666
249.263	68.236
90.251	26.8966
281.892	12.4453
230.359	61.2037
113.568	23.8091
157.243	74.2996
79.5049	53.9634
161.322	41.0004
201.288	45.8023
280.891	2.11623
218.264	34.2491
303.86	70.6997
222.267	66.7876
352.467	30.6423
256.327	71.7548
25.9966	88.3812
271.592	29.3444
42.4584	34.7578
303.819	54.6691
11.9369	63.4848
185.357	31.2799
129.039	52.7029
309.306	53.8262
281.295	12.2686
336.45	40.9138
59.0166	81.4866
31.2451	57.7498
285.014	51.2087
138.539	19.6425
275.872	50.6492
295.373	28.9118
131.183	55.2514
138.986	22.4505
294.42	20.5021
328.37	7.96545
303.947	65.1449
313.487	43.5736
39.5143	54.5903
163.294	74.2785
128.664	63.8026
228.96	78.0786
136.522	28.0061
315.611	42.841
298.66	9.01852
184.717	45.4425
308.865	14.1731
134.443	53.5788
283.458	27.0883
137.297	13.513
340.557	24.7186
349.672	58.7487
133.19	52.0185
206.21	16.861
44.0965	30.9107
292.314	45.4988
194.907	73.7007
141.79	44.4167
190.873	47.5709
38.0617	51.7195
332.19	39.3456
139.591	8.88487
273.022	38.4904
99.6404	47.3106
295.713	31.792
88.481	21.7995
140.22	49.229
228.889	76.1724
94.3555	71.9089
186.466	72.6957
132.056	49.0384
279.709	41.8558
107.078	76.431
92.163	22.4617
176.664	44.5332
284.825	35.8744
175.002	44.4947
214.714	32.5968
101.983	74.4465
197.117	30.0455
196.481	17.4864
245.228	84.1717
141.116	68.3203
303.843	58.6511
253.243	69.4885
27.3827	76.7254
134.664	48.2557
43.0833	53.5342
117.231	26.389
210.002	61.6744
175.76	37.8111
221.61	78.5723
32.7197	84.1845
296.808	34.4248
192.233	78.5693
274.811	31.603
299.38	28.3863
104.77	7.89953
178.899	40.2232
152.079	49.598
113.521	27.6919
266.67	22.3163
142.165	21.8355
20.6758	73.9668
259.544	61.9771
144.859	47.0139
59.3656	46.3092
321.536	39.5005
118.856	70.668
34.4658	49.0261
185.776	39.6744
283.126	14.4957
273.549	16.8541
284.367	73.777
156.486	81.8567
185.004	44.0174
186.806	73.6629
151.788	83.4536
29.6173	78.524
2.13307	58.2555
263.147	60.8443
130.587	48.8561
180.947	37.5412
178.265	38.6278
294.954	47.9434
208.209	46.9539
289.933	24.7854
359.178	63.3851
143.572	32.5245
269.371	71.5568
155.002	27.4808
318.131	62.6613
180.427	78.5652
286.814	6.4449
101.522	29.0059
33.0359	50.6295
103.933	35.8239
290.378	49.83
37.6261	0.0474701
258.124	31.0276
130.898	59.804
305.403	28.2099
189.685	42.9488
358.848	63.8231
242.094	5.10394
197.477	52.1627
165.091	49.6843
290.626	40.7022
35.6144	70.3313
354.701	47.6154
298.713	67.9777
19.2832	15.6811
30.5352	47.8694
267.709	8.0601
46.4547	59.932
197.777	64.2167
113.492	6.72102
328.056	60.9138
141.631	33.0119
177.717	80.6787
326.153	63.845
97.4598	25.3621
33.7245	50.5678
155.269	49.1376
94.1051	38.8694
268.455	7.83984
332.393	59.0918
50.0561	56.949
57.5113	53.8146
201.259	81.9406
6.6498	76.3006
55.2375	48.2704
82.2214	64.6909
38.9236	50.261
159.204	63.8117
197.771	63.4443
